sample_name,x,y,rmax,subclass,broad_class,x_um,y_um,layer
3472,7867.179065738879,11175.625171136102,0.0616955778683621,L6 IT,Ex,2002.0819032866511,5752.732393448472,L6a_polygon_uncut
3478,10958.132667597,6719.513709765971,0.0466175816254753,Sst,Inh,2335.2867015669567,5272.363577912772,L6a_polygon_uncut
3480,13039.6366325083,12145.4924129731,0.0750415092297909,L4,Ex,2559.672828984395,5857.2840821185,L4_polygon_uncut
3483,9786.049668520709,3504.30845388499,0.105678319179616,Lamp5,Inh,2208.9361542665324,4925.764451328802,VISp_wm
3485,16252.275811533898,9298.61348963088,0.0856122147365656,L4,Ex,2905.995332483354,5550.390534182209,L2/3
3487,11462.408666212801,14510.3897835471,0.0476049072893895,L2/3 IT,Ex,2389.6476542177397,6112.220018666378,L4_polygon_uncut
3488,16010.535050721699,7710.03132959547,0.0663451565119569,L4,Ex,2879.9356784677993,5379.141377330392,L2/3
3497,6617.021613418039,13105.6295330884,0.0694032625199976,L6 IT,Ex,1867.3149299264646,5960.78686366693,L6a_polygon_uncut
3498,12628.8031340295,13324.2020489812,0.0611095350347149,L4,Ex,2515.38497784838,5984.348980880173,L4_polygon_uncut
3500,10762.7654268584,14180.4232470277,0.0679198681141483,L4,Ex,2314.2261130153356,6076.649626029586,L4_polygon_uncut
3501,10268.8282456357,15876.6742370755,0.0362545478194168,L4,Ex,2260.9796848795286,6259.505482756739,L4_polygon_uncut
3505,14428.287676811799,10535.6448328799,0.145277202001934,L2/3 IT,Ex,2709.369411560312,5683.742512984453,L4_polygon_uncut
3514,12915.9742584382,6400.70379073207,0.21066788466661399,L5 PT,Ex,2546.342025059638,5237.995868640917,L5_polygon_uncut
3518,10938.9282080449,5620.988269948,0.0437976663522697,L6 PT,Ex,2333.2164608272406,5153.942535500394,L6a_polygon_uncut
3519,8759.86116295787,15001.6860908765,0.0734655397679296,L5 PT,Ex,2098.3130333668587,6165.181760596487,L5_polygon_uncut
3525,10066.369171858001,11990.167350226102,0.150408172264111,L5 IT,Ex,2239.1545967262928,5840.540040354374,L5_polygon_uncut
3527,10630.1396201556,8249.952030887429,0.11800475468539301,L6 IT,Ex,2299.9290510527735,5437.344828929665,L6a_polygon_uncut
3528,9910.73050233024,7062.85709655272,0.15697967156283,L6 PT,Ex,2222.3767481512,5309.375995008383,L6a_polygon_uncut
3531,15906.190254302199,7237.482154408779,0.0559534499901146,L4,Ex,2868.6873094137773,5328.200576245266,L4_polygon_uncut
3533,16212.9969241475,6713.95223814323,0.11771193176594198,L4,Ex,2901.7610684231004,5271.76405127184,L4_polygon_uncut
3534,14506.430207471201,12474.2567971608,0.0743585830953594,L4,Ex,2717.7931763653955,5892.7248827339345,L2/3
3535,10929.1389974199,4107.24717168138,0.10115079513262899,L5 IT,Ex,2332.161183921865,4990.761245107253,L6b_polygon_uncut
3539,15511.2837629652,10048.8318498583,0.0460506947694086,L2/3 IT,Ex,2826.1163896476487,5631.264073414724,L2/3
3544,7977.28550020537,5002.34420845402,0.15785050004880402,Endo,Endo,2013.951376922139,5087.252705671343,VISp
3546,8671.49327179936,13046.7867049244,0.0673040052366665,Pvalb,Inh,2088.786974699971,5954.44360679085,L5_polygon_uncut
3547,11339.1589000717,5273.02043858358,0.112956130166784,L6 IT,Ex,2376.3613294277293,5116.43160327931,L6a_polygon_uncut
3550,10163.130477730601,12103.4034608173,0.0888541344734164,L5 IT,Ex,2249.585465499359,5852.746893076105,L5_polygon_uncut
3551,16424.147879007098,8181.745082178391,0.25762407215766003,Vip,Inh,2924.5231413569654,5429.992119858831,L2/3
3557,7231.091152131279,9493.291336686,0.14754173538068102,L6b,Ex,1933.5116261997518,5571.3768060947505,L6b_polygon_uncut
3559,11462.2420414682,8522.84160719784,0.11985148813195899,L5 IT,Ex,2389.629692070272,5466.762325255927,L5_polygon_uncut
3561,8872.25314546275,4227.67139737142,0.10335577649133801,Oligo,Glia,2110.4288890808843,5003.7429766366395,VISp_wm
3562,16624.6420835887,9069.90268082233,0.0373789857927709,Endo,Endo,2946.136416610862,5525.735508992647,L2/3
3570,15956.7475423125,7122.31401461028,0.0695298584017374,L4,Ex,2874.1373850612877,5315.785450774988,L4_polygon_uncut
